,Customer_Name,Similar_Name
643,columbia insurance,columbia credit union
644,commerce bank,california bank of commerce
645,commerce bank,commerce bank & trust company
646,commerce bank,commerce bank - mo
647,commerce bank,heritage bank of commerce
648,commercial bank,commercial and savings bank
649,commercial bank,commercial bank of dubai
650,commercial bank,deyang city commercial bank
651,commercial bank,national commercial bank
652,commercial bank,paragon commercial bank
653,commercial bank,xian commercial bank
654,commerzbank ag,commerzbank ag
655,commerzbank ag,commerzbank ag (germany)
656,commerzbank ag,commerzbank ag
657,commerzbank ag,commerzbank ag (germany)
658,community bank,coastal community bank
659,community bank,community first bank
660,community bank,community one bank
661,community bank,community trust bank
662,community bank,first community bank
663,community bank,first community bank of central
664,community bank,first federal community bank
665,community bank,first national community bank
666,community bank,pioneer community bank
667,community bank,united community bank
668,community bank,your community bank
669,community first bank,first community bank
670,compass bank,bbva compass
671,compass bank,compass spa
672,compass spa,compass bank
673,compassion australia,compassion international
674,compassion international,compassion australia
675,"comprehensive computer solutions,","comprehensive computer solutions, inc"
676,compugroup medical,compugroup medical sweden ab
677,computacenter france,computacenter uk limited
678,computer sciences,computer sciences corp
679,computer sciences,computer sciences corporation
680,computer sciences,"computer sciences corporation-csc-commercial,"
681,computer sciences,csc computer sciences
682,computer sciences,csc computer sciences -tw
683,computer sciences,csc computer sciences b.v.
684,computer sciences,csc computer sciences bv-nl
685,computer sciences,csc computer sciences italia
686,computer sciences,csc computer sciences limited
687,computer sciences,csc computer sciences ltd
688,computer sciences,csc computer sciences ltd sevenoaks
689,computer sciences,csc computer sciences ltd uk
690,computer sciences,csc computer sciences ltd-aylesford
691,computer sciences,csc computer sciences ltd-kent
692,computer sciences,csc computer sciences ltd-slough
693,computer sciences,csc computer sciences sas
694,computer services,computer services inc
695,computer services,deposit computer services
696,computing technologies,core computing technologies
697,concord college,concord hospital
698,concord hospital,concord college
699,conoscenza b.v,conoscenza b.v.
700,conoscenza b.v.,conoscenza b.v
701,conseil général,conseil général (cg33)
702,conseil général,conseil général des yvelines
703,constellation europe,constellation energy group
704,continental ag,continental automotive corporation
705,continental ag,continental automotive gmbh
706,continental ag,pacific continental bank
707,continental mills,mills college
708,cook county,cook county admin offices
709,cook county,cook county probation
710,cook county,cook medical
711,cook county,cook medical inc.
712,cook county,mn cook county
713,cook county,thomas cook
714,cook medical,cook children's medical center
715,cook medical,cook childrens medical ce
716,cook medical,cook county
717,cook medical,cook medical inc.
718,cook medical inc.,cook medical
719,coop,coop alleanza 3.0
720,coop,coop centrale adriatica
721,coop,coop consumatori nordest
722,coop,coop groothandel bv
723,coop,coop mineraloel ag
724,coop,guadalupe valley electric coop
725,coop,lincolnshire coop
726,coop,midlands coop
727,coop,northern va electric coop
728,corelogic,"corelogic solutions, llc"
729,cornerstone college,cornerstone capital management
730,corporate express,corporate express australia ltd
731,corporate translations,mark e cutler/ corporate translations
732,cosco,"cosco bulk carrier co.,ltd"
733,cosco,cosco container lines
734,cottage hospital,cottage health system
735,county materials,applied materials
736,county of broward,broward county
737,coveris,coveris flexibles deutschland gmbh
738,crane co,crane canada co
739,crane co,crane co.
740,crane co,crane group
741,crane co.,crane co
742,crane co.,crane group
743,crane co.,crane supply
744,crane group,crane co
745,crane group,crane co.
746,crane group,crane supply
747,crane supply,crane co.
748,crane supply,crane group
749,cravath swaine moore,cravath swaine & moore
750,cri,cri advantage inc.
751,crossroads bank,crossroads systems inc
752,crown equipment,crown equipment
753,crown equipment,crown equipment corporation
754,crown equipment,crown equipment
755,crown equipment,crown equipment corporation
756,crown equipment corporation,crown equipment
757,crown equipment corporation,crown equipment
758,cs energy,cs business systems inc
759,csc,"computer sciences corporation - csc - bath, me"
760,csc,"computer sciences corporation - csc - chantilly, va"
761,csc,computer sciences corporation - csc - commercial - sterling va
762,csc,"computer sciences corporation - csc - ft. worth, tx"
763,csc,"computer sciences corporation - csc - south windsor, ct"
764,csc,csc
765,csc,csc - bhpb
766,csc,csc - il
767,csc,csc - maidstone data center weavering
768,csc,csc - netherlands
769,csc,csc - nps
770,csc,csc - raytheon
771,csc,csc - us gov't - doe
772,csc,csc / ats-lenexa
773,csc,csc / raytheon government
774,csc,csc aust pty ltd
775,csc,csc australia
776,csc,"csc australia - toowong, qld"
777,csc,csc australia pty limited
778,csc,csc australia pty ltd
